iso3,name,population,pop_year,gdp_usd,gdp_year,gdp_per_capita_usd
ABW,Aruba,107995,2024,3544707788,2022,32822.89
AFE,Africa Eastern and Southern,769280888,2024,1236163044999,2023,1606.91
AFG,Afghanistan,42647492,2024,14502158192,2022,340.05
AFW,Africa Western and Central,521764076,2024,796586157553,2023,1526.72
AGO,Angola,37885849,2024,84722957642,2023,2236.27
ALB,Albania,2377128,2024,22977677860,2023,9666.15
AND,Andorra,81938,2024,3727673593,2023,45493.83
ARB,Arab World,492612632,2024,3491516939569,2023,7087.75
ARE,United Arab Emirates,10986400,2024,504173451327,2023,45890.69
ARG,Argentina,45696159,2024,640591410663,2023,14018.5
ARM,Armenia,3033500,2024,24212134631,2023,7981.58
ASM,American Samoa,46765,2024,871000000,2022,18625.04
ATG,Antigua and Barbuda,93772,2024,2033085185,2023,21681.15
AUS,Australia,27196812,2024,1723827215334,2023,63383.43
AUT,Austria,9177982,2024,516034144115,2023,56225.23
AZE,Azerbaijan,10202830,2024,72356176470,2023,7091.78
BDI,Burundi,14047786,2024,2642161668,2023,188.08
BEL,Belgium,11858610,2024,632216577075,2023,53312.87
BEN,Benin,14462724,2024,19673284686,2023,1360.28
BFA,Burkina Faso,23548781,2024,20324617838,2023,863.09
BGD,Bangladesh,173562364,2024,437415331040,2023,2520.22
BGR,Bulgaria,6441421,2024,101584384672,2023,15770.49
BHR,Bahrain,1588670,2024,43205000000,2023,27195.7
BHS,"Bahamas, The",401283,2024,14338500000,2023,35731.64
BIH,Bosnia and Herzegovina,3164253,2024,27054889362,2023,8550.17
BLR,Belarus,9132629,2024,71857382745,2023,7868.2
BLZ,Belize,417072,2024,3281500000,2023,7867.95
BMU,Bermuda,64636,2024,7827980000,2022,121108.67
BOL,Bolivia,12413315,2024,45849832906,2023,3693.6
BRA,Brazil,211998573,2024,2173665655937,2023,10253.21
BRB,Barbados,282467,2024,6393564189,2023,22634.73
BRN,Brunei Darussalam,462721,2024,15128292953,2023,32694.2
BTN,Bhutan,791524,2024,2898227713,2022,3661.58
BWA,Botswana,2521139,2024,19395765126,2023,7693.25
CAF,Central African Republic,5330690,2024,2555492085,2023,479.39
CAN,Canada,41288599,2024,2140085567791,2023,51832.36
CEB,Central Europe and the Baltics,100061963,2024,2252970882003,2023,22515.76
CHE,Switzerland,9005582,2024,884940402230,2023,98265.76
CHI,Channel Islands,168126,2024,11228317318,2022,66785.13
CHL,Chile,19764771,2024,335533331669,2023,16976.33
CHN,China,1408975000,2024,17794781986104,2023,12629.59
CIV,Cote d'Ivoire,31934230,2024,78788828906,2023,2467.22
CMR,Cameroon,29123744,2024,47945510090,2023,1646.27
COD,"Congo, Dem. Rep.",109276265,2024,66383287002,2023,607.48
COG,"Congo, Rep.",6332961,2024,15321055818,2023,2419.26
COL,Colombia,52886363,2024,363540156234,2023,6873.99
COM,Comoros,866628,2024,1352380972,2023,1560.51
CPV,Cabo Verde,524877,2024,2587252076,2023,4929.25
CRI,Costa Rica,5129910,2024,86497941439,2023,16861.49
CSS,Caribbean small states,4539060,2024,53252637669,2023,11732.08
CUB,Cuba,10979783,2024,107351800000,2020,9777.22
CUW,Curacao,155967,2024,3073840325,2022,19708.27
CYM,Cayman Islands,74457,2024,6600844001,2022,88653.1
CYP,Cyprus,1358282,2024,32229622669,2023,23728.23
CZE,Czechia,10905028,2024,330858339871,2023,30339.98
DEU,Germany,83516593,2024,4456081016705,2023,53355.64
DJI,Djibouti,1168722,2024,4098530513,2023,3506.85
DMA,Dominica,66205,2024,653992592,2023,9878.3
DNK,Denmark,5976992,2024,404198757537,2023,67625.78
